35663,CHEM 3034L-01,M,  T    ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Organic Chemistry II Lab,Jeff A. Altig,2,12,10,0,$155,Bookstore Link
35667,CHEM 3034L-02,M,   W   ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Organic Chemistry II Lab,Jeff A. Altig,6,12,6,0,$155,Bookstore Link
35673,CHEM 3034L-03,M, M     ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Organic Chemistry II Lab,Jeff A. Altig,5,12,7,0,$155,Bookstore Link
35674,CHEM 3043-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,LOPEZ 106,3,CLAS,Descriptive Inorganic Chem,Nicolas E. Holubowitch,8,20,12,0,N/A,Bookstore Link
35675,CHEM 3043L-01,M,    R  ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Descriptive Inorganic Chem Lab,Jeff A. Altig,1,12,11,0,$155,Bookstore Link
35758,CHEM 3089-01,M, M W F ,01/16/2024-05/07/2024,1200-1250,LOPEZ 106,3,CLAS,Poisons,Jeff A. Altig,7,25,18,0,N/A,Bookstore Link
35677,CHEM 4012-01,M, M W F ,01/16/2024-05/07/2024,1000-1050,JONES 227,3,CLAS,Adv. Topics in Analytical Chem,Menake E. Piyasena,8,10,2,0,N/A,Bookstore Link
35584,CHEM 4022-01,M, M W   ,01/16/2024-05/07/2024,1100-1215,WORKC 109,3,CLAS,Environmental Chemistry,Gayan R. Rubasinghege,3,10,7,0,N/A,Bookstore Link
34219,CHEM 4030-01,M,     F ,01/16/2024-05/07/2024,1400-1515,LOPEZ 106,1,CLAS,Chem and Biochem Seminar,Mark R. Ams,18,20,2,0,N/A,Bookstore Link
35583,CHEM 4042-01,M,  T R  ,01/16/2024-05/07/2024,1100-1215,LOPEZ 106,3,CLAS,Biochemistry II,Megha Khandelwal,16,30,14,0,N/A,Bookstore Link
35578,CHEM 4042L-01,M, M     ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Biochemistry II Lab,Megha Khandelwal,2,8,6,0,$155,Bookstore Link
35587,CHEM 4046-01,M, M W F ,01/16/2024-05/07/2024,0900-0950,JONES 227,3,CLAS,Polymer Chemistry,Ujith S. Madduma Bandarage,3,10,7,0,N/A,Bookstore Link
35589,CHEM 4094-01,M, ,01/16/2024-05/07/2024,None, ,2,CLAS,Senior Research & Thesis II,Praveen Patidar,5,5,0,0,N/A,Bookstore Link
35590,CHEM 4094-02,M, ,01/16/2024-05/07/2024,None,TBA ,2,CLAS,Senior Research & Thesis II,Nicolas E. Holubowitch,4,5,1,0,N/A,Bookstore Link
35592,CHEM 4094-03,M, ,01/16/2024-05/07/2024,None,TBA ,2,CLAS,Senior Research & Thesis II,Gayan R. Rubasinghege,5,5,0,0,N/A,Bookstore Link
35818,CHEM 4094-04,M, ,01/16/2024-05/07/2024,None, ,2,CLAS,Senior Research & Thesis II,Bonnie Frey,4,5,1,0,N/A,Bookstore Link
34245,CHEM 5000-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Jeff A. Altig,5,5,0,0,N/A,Bookstore Link
34246,CHEM 5000-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Sally C. Pias,4,5,1,0,N/A,Bookstore Link
34247,CHEM 5000-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Menake E. Piyasena,3,5,2,0,N/A,Bookstore Link
34249,CHEM 5000-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Gayan R. Rubasinghege,2,5,3,0,N/A,Bookstore Link
34250,CHEM 5000-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Praveen Patidar,2,5,3,0,N/A,Bookstore Link
34251,CHEM 5000-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Nicolas E. Holubowitch,2,5,3,0,N/A,Bookstore Link
35621,CHEM 5000-07,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Mark R. Ams,8,10,2,0,N/A,Bookstore Link
35623,CHEM 5000-08,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Megha Khandelwal,0,0,0,0,N/A,Bookstore Link
35626,CHEM 5012-01,M, M W F ,01/16/2024-05/07/2024,1000-1050,JONES 227,3,CLAS,Adv. Topics in Analytical Chem,Menake E. Piyasena,2,12,10,0,N/A,Bookstore Link
35635,CHEM 5022-01,M, M W   ,01/16/2024-05/07/2024,1100-1215,WORKC 109,3,CLAS,Environmental Chemistry,Gayan R. Rubasinghege,2,10,8,0,N/A,Bookstore Link
35762,CHEM 5030-01,M,     F ,01/16/2024-05/07/2024,1400-1515,LOPEZ 106,1,CLAS,Graduate Seminar,Mark R. Ams,14,30,16,0,N/A,Bookstore Link
35649,CHEM 5046-01,M, M W F ,01/16/2024-05/07/2024,0900-0950,JONES 227,3,CLAS,Polymer Chemistry,Ujith S. Madduma Bandarage,7,10,3,0,N/A,Bookstore Link
34258,CHEM 5091-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Jeff A. Altig,5,5,0,0,N/A,Bookstore Link
34259,CHEM 5091-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Sally C. Pias,4,5,1,0,N/A,Bookstore Link
34261,CHEM 5091-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Menake E. Piyasena,5,5,0,0,N/A,Bookstore Link
34262,CHEM 5091-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Gayan R. Rubasinghege,4,5,1,0,N/A,Bookstore Link
34264,CHEM 5091-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Nicolas E. Holubowitch,5,5,0,0,N/A,Bookstore Link
34265,CHEM 5091-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Gayan R. Rubasinghege,5,5,0,0,N/A,Bookstore Link
34266,CHEM 5091-07,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Mark R. Ams,5,5,0,0,N/A,Bookstore Link
34269,CHEM 5095-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Jeff A. Altig,5,5,0,0,N/A,Bookstore Link
34270,CHEM 5095-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Sally C. Pias,4,5,1,0,N/A,Bookstore Link
34271,CHEM 5095-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Menake E. Piyasena,5,5,0,0,N/A,Bookstore Link
34272,CHEM 5095-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Gayan R. Rubasinghege,5,5,0,0,N/A,Bookstore Link
34274,CHEM 5095-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Praveen Patidar,8,8,0,0,N/A,Bookstore Link
34275,CHEM 5095-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Nicolas E. Holubowitch,5,5,0,0,N/A,Bookstore Link
